id,title,digest,url,author,publish_time
"14","互联网*5&nbsp;|&nbsp;腾讯、字节跳动、网易等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496375&idx=1&sn=9f688e12ea97f3bf0aa3270c208e2746&chksm=e9f92d59de8ea44f80bd10369cbde7859445421b0c4aa93b9bb7dfe37b7b41c60dfb0d238b50&scene=27#wechat_redirect","Yan","2020-05-01 18:00:00"
"15","咨询*7&nbsp;|&nbsp;腾讯战略发展部、雀巢战略与业务发展部、埃森哲等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496375&idx=2&sn=059ec2afe3d69f3cdd90abdf83dc141c&chksm=e9f92d59de8ea44f15d58e3334d8a9bf548868f4fa0b25e47ae29f0677718adb4226f7f3e161&scene=27#wechat_redirect","Yan","2020-05-01 18:00:00"
"16","金融*17&nbsp;|&nbsp;华兴资本、复星创富、天弘基金等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496375&idx=3&sn=0e36a2f276100cc22433be53faad19b6&chksm=e9f92d59de8ea44faee3e8b7eb6c5e9a693e3088f2599eda8a16cf5dde0ed4c7d58666dfe709&scene=27#wechat_redirect","Yan","2020-05-01 18:00:00"
"17","多行业*5&nbsp;|&nbsp;联合利华、雀巢惠氏实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496375&idx=4&sn=d055ae4cb6350ed6ba5c0dde47bf52fb&chksm=e9f92d59de8ea44f3f4725fb00cb1222a5d467696f92b1a8b73f233973df6319ca779d0eabdd&scene=27#wechat_redirect","Yan","2020-05-01 18:00:00"
"18","你距离成为Top2券商实习生，可能只差2天！（附Wind/研报10G资料）","实习申请逼近&nbsp;，peer&nbsp;&nbsp;pressure压得喘不过气","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496366&idx=1&sn=ef219d935925c6447ebcc1a1d2f874cc&chksm=e9f92d40de8ea4568d9c45667600862339085a5b3d51073c0986c639b1b8907f364846f51156&scene=27#wechat_redirect","","2020-04-30 08:00:00"
"19","互联网*6&nbsp;|&nbsp;腾讯、字节跳动、网易游戏等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496366&idx=2&sn=ab18c6d91f5519ad3dd4bc49dea33530&chksm=e9f92d40de8ea456f487093ba8164b8dfdb8429546cad140a6da097652f121fb77cf99577f8d&scene=27#wechat_redirect","","2020-04-30 08:00:00"
"20","咨询*1&nbsp;|&nbsp;尼尔森实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496366&idx=3&sn=015eacc664e48692bb1f29d75ceb8610&chksm=e9f92d40de8ea45676cdd5b6683e7863efca92751ec4009be6b66ba335e0b699eab67fdeaa12&scene=27#wechat_redirect","","2020-04-30 08:00:00"
"21","金融*16&nbsp;|&nbsp;华兴资本、GGV、华泰证券等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496366&idx=4&sn=c5e0d6cab2a03185772b94c2a636c586&chksm=e9f92d40de8ea4564ce7a21c7e7532f15c6aeaa3bf31464cb284482d028817f25990d5563ab2&scene=27#wechat_redirect","","2020-04-30 08:00:00"
"22","多行业*2&nbsp;|&nbsp;联合利华等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496366&idx=5&sn=27e3bf5e256dd56e483d9c42e06f5302&chksm=e9f92d40de8ea456035fe15ac4602aea7462b849a99653f0a2f8403a0576dd3af9ac9080f48c&scene=27#wechat_redirect","","2020-04-30 08:00:00"
"23","互联网*6&nbsp;|&nbsp;腾讯、滴滴、京东、小米等实习帖","关注并标星“今日实习”，第一时间获得最新实习资讯","http://mp.weixin.qq.com/s?__biz=MzI1MDg3NDQ5Nw==&mid=2247496362&idx=1&sn=3bcccd010372709eb434d7549c9b5a92&chksm=e9f92d44de8ea452924810c6d078c80f4406ba5e9c32e1a60941ec01783432d04c7cdecfed95&scene=27#wechat_redirect","JC","2020-04-29 08:00:00"
