id,bg1,bg2,bg3,bg4,bg5,bg6,bg7,bg8,bg9,bg10,bg11,bg12,bg13,bg14,bg15
49,美国万通金融集团（香港）财务管理实习生,中国民生银行股份有限公司济南支行实习,台湾中原大学交换经历——“模拟投资比赛”,山东大学（威海）大学生科研训练计划项目——《社交网络对企业品牌塑造的影响》,,,,,,,,,,,
50,NO BACKGROUND,,,,,,,,,,,,,,
51,NO BACKGROUND,,,,,,,,,,,,,,
52,创业经历：杭州回车电子科技有限公司的创立——研究回车电子的盈利模式的选择,浙江大学优秀学生赴港公费交流，完成创业训练课程,本科生科研训练计划SRTP：大蒜价格波动的现象解释和原因探究,浙江大学第十届“蒲公英”大学生创业大赛——“果果鲜”果蔬物流包装技术研发,,,,,,,,,,,
53,NO BACKGROUND,,,,,,,,,,,,,,
54,NO BACKGROUND,,,,,,,,,,,,,,
55,NO BACKGROUND,,,,,,,,,,,,,,
56,NO BACKGROUND,,,,,,,,,,,,,,
57,NO BACKGROUND,,,,,,,,,,,,,,
58,NO BACKGROUND,,,,,,,,,,,,,,
59,NO BACKGROUND,,,,,,,,,,,,,,
60,NO BACKGROUND,,,,,,,,,,,,,,
61,中国银行浙江省分行金融财政部外汇和贵金属交易实习,大学生创新创业计划项目-基于多重委托代理关系的P2P网贷风险及监管,华东理工大学大学生课余研究计划（usrp-基于SERVQUAL的1号店服务质量评价及实证研究,,,,,,,,,,,,
62,美国万通金融集团（香港）财务管理实习生,中国民生银行股份有限公司济南支行实习,台湾中原大学交换经历——“模拟投资比赛”,山东大学（威海）大学生科研训练计划项目——《社交网络对企业品牌塑造的影响》,,,,,,,,,,,
63,辉立资本（悉尼）实习——分析师助理,新格投资实习——投资经理助理,首届“大旗杯”全国外汇交易大赛优秀奖（全国第七名）,西南财经大学第十一届本科生科研创新项目A等结项,,,,,,,,,,,
64,NO BACKGROUND,,,,,,,,,,,,,,
65,NO BACKGROUND,,,,,,,,,,,,,,
66,美国万通金融集团（香港）财务管理实习生,中国民生银行股份有限公司济南支行实习,台湾中原大学交换经历——“模拟投资比赛”,山东大学（威海）大学生科研训练计划项目——《社交网络对企业品牌塑造的影响》,,,,,,,,,,,
67,美国万通金融集团（香港）财务管理实习生,中国民生银行股份有限公司济南支行实习,台湾中原大学交换经历——“模拟投资比赛”,山东大学（威海）大学生科研训练计划项目——《社交网络对企业品牌塑造的影响》,,,,,,,,,,,
68,美国万通金融集团（香港）财务管理实习生,中国民生银行股份有限公司济南支行实习,台湾中原大学交换经历——“模拟投资比赛”,山东大学（威海）大学生科研训练计划项目——《社交网络对企业品牌塑造的影响》,,,,,,,,,,,
69,美国万通金融集团（香港）财务管理实习生,中国民生银行股份有限公司济南支行实习,台湾中原大学交换经历——“模拟投资比赛”,山东大学（威海）大学生科研训练计划项目——《社交网络对企业品牌塑造的影响》,,,,,,,,,,,
70,NO BACKGROUND,,,,,,,,,,,,,,
71,NO BACKGROUND,,,,,,,,,,,,,,
72,NO BACKGROUND,,,,,,,,,,,,,,
73,NO BACKGROUND,,,,,,,,,,,,,,
74,NO BACKGROUND,,,,,,,,,,,,,,
75,NO BACKGROUND,,,,,,,,,,,,,,
76,NO BACKGROUND,,,,,,,,,,,,,,
77,NO BACKGROUND,,,,,,,,,,,,,,
78,NO BACKGROUND,,,,,,,,,,,,,,
79,NO BACKGROUND,,,,,,,,,,,,,,
80,NO BACKGROUND,,,,,,,,,,,,,,
81,NO BACKGROUND,,,,,,,,,,,,,,
82,NO BACKGROUND,,,,,,,,,,,,,,
83,NO BACKGROUND,,,,,,,,,,,,,,
84,NO BACKGROUND,,,,,,,,,,,,,,
85,NO BACKGROUND,,,,,,,,,,,,,,
