,idErr,reasons
199,339,MISSING BACKGROUND
200,340,MISSING BACKGROUND
201,341,MISSING BACKGROUND
202,342,MISSING BACKGROUND
203,343,MISSING BACKGROUND
204,344,MISSING BACKGROUND
205,345,MISSING BACKGROUND
206,363,MISSING BACKGROUND
207,365,MISSING BACKGROUND
208,368,MISSING BACKGROUND
209,371,MISSING BACKGROUND
210,372,MISSING BACKGROUND
211,373,MISSING BACKGROUND
212,376,MISSING BACKGROUND
213,377,MISSING BACKGROUND
214,378,MISSING BACKGROUND
215,379,MISSING BACKGROUND
216,380,MISSING BACKGROUND
217,381,MISSING BACKGROUND
218,387,MISSING BACKGROUND
219,390,MISSING BACKGROUND
220,391,MISSING BACKGROUND
221,392,MISSING BACKGROUND
222,393,MISSING BACKGROUND
223,394,MISSING BACKGROUND
224,395,MISSING BACKGROUND
225,396,MISSING BACKGROUND
226,397,MISSING BACKGROUND
227,398,MISSING BACKGROUND
228,399,MISSING BACKGROUND
229,400,MISSING BACKGROUND
230,401,MISSING BACKGROUND
231,402,MISSING BACKGROUND
232,410,MISSING BACKGROUND
233,411,MISSING BACKGROUND
234,412,MISSING BACKGROUND
235,419,MISSING BACKGROUND
236,420,MISSING BACKGROUND
237,421,MISSING BACKGROUND
238,422,MISSING BACKGROUND
239,423,MISSING BACKGROUND
240,424,MISSING BACKGROUND
241,425,MISSING BACKGROUND
242,426,MISSING BACKGROUND
243,427,MISSING BACKGROUND
244,428,MISSING BACKGROUND
245,429,MISSING BACKGROUND
246,430,MISSING BACKGROUND
247,431,MISSING BACKGROUND
248,432,MISSING BACKGROUND
249,433,MISSING BACKGROUND
250,435,MISSING BACKGROUND
251,436,MISSING BACKGROUND
252,439,MISSING BACKGROUND
253,440,MISSING BACKGROUND
254,441,MISSING LANGUAGE
255,442,MISSING BACKGROUND
256,443,MISSING BACKGROUND
257,444,MISSING BACKGROUND
258,445,MISSING BACKGROUND
259,446,MISSING BACKGROUND
260,447,MISSING BACKGROUND
261,448,MISSING BACKGROUND
262,449,MISSING BACKGROUND
263,450,MISSING BACKGROUND
264,451,MISSING BACKGROUND
265,452,MISSING BACKGROUND
266,453,MISSING BACKGROUND
267,454,MISSING BACKGROUND
268,455,MISSING BACKGROUND
269,456,MISSING BACKGROUND
270,457,MISSING BACKGROUND
271,458,MISSING BACKGROUND
272,459,MISSING BACKGROUND
273,460,MISSING BACKGROUND
274,461,MISSING BACKGROUND
275,462,MISSING BACKGROUND
276,463,MISSING BACKGROUND
277,464,MISSING BACKGROUND
278,465,MISSING BACKGROUND
279,466,MISSING BACKGROUND
280,467,MISSING BACKGROUND
281,468,MISSING BACKGROUND
282,469,MISSING BACKGROUND
283,470,MISSING BACKGROUND
284,471,MISSING BACKGROUND
285,472,MISSING BACKGROUND
286,473,MISSING BACKGROUND
287,474,MISSING BACKGROUND
288,475,MISSING BACKGROUND
289,476,MISSING BACKGROUND
290,477,MISSING BACKGROUND
291,478,MISSING BACKGROUND
292,479,MISSING BACKGROUND
293,480,MISSING BACKGROUND
294,481,MISSING BACKGROUND
295,485,MISSING BACKGROUND
296,486,MISSING BACKGROUND
297,487,MISSING BACKGROUND
298,488,MISSING BACKGROUND
299,489,MISSING BACKGROUND
300,490,MISSING BACKGROUND
301,491,MISSING BACKGROUND
302,492,MISSING LANGUAGE
303,492,MISSING BACKGROUND
304,493,MISSING BACKGROUND
305,494,MISSING BACKGROUND
306,495,MISSING BACKGROUND
307,496,MISSING BACKGROUND
308,497,MISSING BACKGROUND
309,498,MISSING BACKGROUND
310,499,MISSING BACKGROUND
311,504,MISSING BACKGROUND
312,506,MISSING BACKGROUND
313,507,MISSING BACKGROUND
314,508,MISSING BACKGROUND
315,509,MISSING BACKGROUND
316,526,MISSING LANGUAGE
317,562,MISSING BACKGROUND
318,624,MISSING BACKGROUND
319,637,MISSING LANGUAGE
320,637,MISSING BACKGROUND
